VO_ID,Cue_Index,Voice_Type,ACB_File,Game_Context,Caller_Methods,Evidence,Also_In_Other_Voice_Map,Notes
VO_000211,50,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 50),,Inferred,No,Partner cue index 50.
VO_000213,51,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 51),,Inferred,No,Partner cue index 51.
VO_000214,52,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 52),,Inferred,No,Partner cue index 52.
VO_000217,53,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 53),,Inferred,No,Partner cue index 53.
VO_000220,54,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 54),,Inferred,No,Partner cue index 54.
VO_000222,55,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 55),,Inferred,No,Partner cue index 55.
VO_000244,56,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 56),,Inferred,No,Partner cue index 56.
VO_000245,57,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 57),,Inferred,No,Partner cue index 57.
VO_000246,58,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 58),,Inferred,No,Partner cue index 58.
VO_000247,59,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 59),,Inferred,Yes,Partner cue index 59.
VO_000082,60,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 60),,Inferred,No,Partner cue index 60. Added in later update.
VO_000083,61,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 61),,Inferred,No,Partner cue index 61.
VO_000115,62,Partner,Voice_Partner_XXXXXX,Partner: Login bonus character voice,LoginBonusMonitor.GetCharacterFadeOutWait1_Update,Confirmed,No,Partner voice during login bonus character fade transition. Partner cue index 62. Mod reported as VO_000063(62) using system map.
VO_000117,63,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 63),,Inferred,No,Partner cue index 63.
VO_000248,64,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 64),,Inferred,Yes,Partner cue index 64.
VO_000249,65,Partner,Voice_Partner_XXXXXX,Partner: Shop partner get voice,ShopPartnerGetWindow.PlayPartnerVoice (coroutine),Confirmed,No,Partner voice when obtaining a new partner from the shop. Partner cue index 65. Mod reported as VO_000066(65) using system map.
VO_000250,66,Partner,Voice_Partner_XXXXXX,Partner: Login bonus greeting / card select voice,LoginBonusMonitor.Initialize; LoginBonusMonitor.SelectCardDecideInit_Update,Confirmed,No,Partner greeting during login bonus and when selecting login bonus card. Partner cue index 66.
VO_000251,67,Partner,Voice_Partner_XXXXXX,Partner: Partner room / partner sequence voice,CollectionProcess.InputPartnerSequence,Confirmed,No,Partner voice during partner selection in collection/customization room. Partner cue index 67.
VO_000252,68,Partner,Voice_Partner_XXXXXX,Partner: Touch / Result partner voice,CollectionProcess.TouchProcess; ResultProcess.LogicUpdate,Confirmed,No,Partner voice when touching partner and during result screen. Partner cue index 68.
VO_000103,69,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 69),,Inferred,Yes,Partner cue index 69.
VO_000104,70,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 70),,Inferred,Yes,Partner cue index 70.
VO_000109,71,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 71),,Inferred,Yes,Partner cue index 71.
VO_000112,72,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 72),,Inferred,Yes,Partner cue index 72.
VO_000190,73,Partner,Voice_Partner_XXXXXX,Partner: Sort type voice - Type 1,SortSettingSequence.Update,Confirmed,No,Partner voice for sort type selection option 1. Partner cue index 73. Part of switch statement on sort type.
VO_000191,74,Partner,Voice_Partner_XXXXXX,Partner: Sort type voice - Type 2,SortSettingSequence.Update,Confirmed,No,Partner voice for sort type selection option 2. Partner cue index 74. Mod incorrectly reported as VO_000075.
VO_000192,75,Partner,Voice_Partner_XXXXXX,Partner: Sort type voice - Type 3,SortSettingSequence.Update,Confirmed,No,Partner voice for sort type selection option 3. Partner cue index 75. Mod incorrectly reported as VO_000076.
VO_000193,76,Partner,Voice_Partner_XXXXXX,Partner: Sort type voice - Type 4,SortSettingSequence.Update,Confirmed,No,Partner voice for sort type selection option 4. Partner cue index 76. Mod incorrectly reported as VO_000077.
VO_000194,77,Partner,Voice_Partner_XXXXXX,Partner: Sort type voice - Type 5,SortSettingSequence.Update,Confirmed,No,Partner voice for sort type selection option 5. Partner cue index 77.
VO_000195,78,Partner,Voice_Partner_XXXXXX,Partner: Sort type voice - Type 6,SortSettingSequence.Update,Confirmed,No,Partner voice for sort type selection option 6. Partner cue index 78.
VO_000196,79,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 79 - no confirmed caller),,Inferred,No,Partner cue index 79. In sort type block but not seen in scan.
VO_000197,80,Partner,Voice_Partner_XXXXXX,Partner: Sort type voice - Type 7,SortSettingSequence.Update,Confirmed,No,Partner voice for sort type selection option 7. Partner cue index 80.
VO_000198,81,Partner,Voice_Partner_XXXXXX,Partner: Sort type voice - Type 8,SortSettingSequence.Update,Confirmed,No,Partner voice for sort type selection option 8. Partner cue index 81.
VO_000199,82,Partner,Voice_Partner_XXXXXX,Partner: Sort type voice - Type 9,SortSettingSequence.Update,Confirmed,No,Partner voice for sort type selection option 9. Partner cue index 82.
VO_000206,84,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 84),,Inferred,Yes,Partner cue index 84. Note: index 83 is missing.
VO_000243,85,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 85),,Inferred,No,Partner cue index 85.
VO_000253,86,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 86),,Inferred,Yes,Partner cue index 86.
VO_000254,87,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 87),,Inferred,No,Partner cue index 87.
VO_000142,88,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 88),,Inferred,Yes,Partner cue index 88. Same VO_ID as system SE cue 141 (tab press) but different ACB/audio.
VO_000207,89,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 89),,Inferred,Yes,Partner cue index 89.
VO_000208,90,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 90),,Inferred,Yes,Partner cue index 90.
VO_000209,91,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 91),,Inferred,Yes,Partner cue index 91.
VO_000210,92,Partner,Voice_Partner_XXXXXX,Partner: Voice line (index 92),,Inferred,Yes,Partner cue index 92.
VO_000265,93,Partner,Voice_Partner_XXXXXX,Partner: Partner room entry voice,CollectionProcess.PlayPartnerRoomEntryVoice (coroutine); All Partner.xml partnerRoomEntryVoice field,Confirmed,Yes,Voice when partner enters the partner room. Partner cue index 93. All 26 Partner.xml files set partnerRoomEntryVoice=VO_000265.
VO_000266,94,Partner,Voice_Partner_XXXXXX,Partner: Intimate-up voice 1 / Bond level up,CollectionProcess.PlayIntimateUpVoiceRandom (selects from intimateUpVoice01/02/03); All Partner.xml intimateUpVoice01 field,Confirmed,No,Voice when partner bond/intimacy level increases. Partner cue index 94. Selected randomly from intimateUpVoice01/02/03 list via PlayIntimateUpVoiceRandom().
